Points,Threads,SequentialTime,TBB,OPENMP,CILK_PLUS,C++11
1000,2,0.180096,0.409147,0.274943,0.301603,1e-06
1000,2,0.170314,0.396625,0.259943,0.297899,0
1000,2,0.171496,0.402034,0.261453,0.294107,0
1000,2,0.168793,0.390163,0.328219,0.301575,1e-06
1000,2,0.16822,0.389656,0.263595,0.297075,5e-06
1000,2,0.165823,0.410035,0.259409,0.305649,1e-06
1000,2,0.172527,0.386948,0.336436,0.299256,1e-06
1000,2,0.165996,0.41064,0.264475,0.297376,0
1000,2,0.166239,0.414747,0.267658,0.28864,2e-06
1000,2,0.165485,0.400974,0.337429,0.296514,1e-06
1000,4,0.166297,0.409794,0.342458,0.297321,3e-06
1000,4,0.169145,0.3945,0.338473,0.290475,1e-06
1000,4,0.16981,0.396122,0.338828,0.29851,1e-06
1000,4,0.16583,0.398314,0.336552,0.299703,1e-06
1000,4,0.170973,0.385126,0.342179,0.310876,1e-06
1000,4,0.168137,0.388107,0.338086,0.305635,1e-06
1000,4,0.168008,0.402172,0.34317,0.298535,0
1000,4,0.165939,0.391632,0.341443,0.306838,4e-06
1000,4,0.168636,0.413988,0.339535,0.296128,1e-06
1000,4,0.172095,0.385911,0.339229,0.297043,1e-06
1000,8,0.168153,0.406827,0.348146,0.295263,1e-06
1000,8,0.166611,0.4065,0.346136,0.317722,0
1000,8,0.165449,0.412603,0.350091,0.295558,3e-06
1000,8,0.169394,0.400003,0.352232,0.308377,1e-06
1000,8,0.173896,0.379122,0.345904,0.319857,1e-06
1000,8,0.165668,0.419613,0.346857,0.294306,1e-06
1000,8,0.165729,0.400414,0.349558,0.294014,6e-06
1000,8,0.167516,0.415496,0.350658,0.310264,1e-06
1000,8,0.165451,0.415551,0.35351,0.300935,1e-06
1000,8,0.172017,0.388945,0.349679,0.300322,1e-06
